date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:50	29706/29706	---MCZ	200	added ('OK')	text/html	etag:%22ef9b21e9db795a4e6c0ae51736622415-ssl-df%22	https://machinebreak.com/boissons-chaudes-snacks	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/boissons-chaudes-snacks.html	(from https://machinebreak.com/)
20:02:51	26960/26960	---MCZ	200	added ('OK')	text/html	etag:%220c27c3d6a2363ac920bb0cca6f678ede-ssl-df%22	https://machinebreak.com/location-distributeurs-automatiques-boissons	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/location-distributeurs-automatiques-boissons.html	(from https://machinebreak.com/)
20:02:52	23113/23113	---MCZ	200	added ('OK')	text/html	etag:%22b984d3f641cf6ac9698a6518519b7ca3-ssl-df%22	https://machinebreak.com/entreprise-location-distributeur-automatique-boisson	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/entreprise-location-distributeur-automatique-boisson.html	(from https://machinebreak.com/)
20:02:53	21528/21528	---MCZ	200	added ('OK')	text/html	etag:%227520fd6ef64273925f888ea011f18c1c-ssl-df%22	https://machinebreak.com/contact	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/contact.html	(from https://machinebreak.com/)
20:02:54	1098/1098	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d469f0a386421d1d14e4b6b86b2aeeb5-ssl-df%22	https://machinebreak.com/assets/img/icons/social/instagram.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/icons/social/instagram.svg	(from https://machinebreak.com/)
20:02:55	534/534	---M--	200	added ('OK')	image/svg+xml	etag:%221bad7872d421e38486dd1601bf419152-ssl%22	https://machinebreak.com/assets/img/icons/social/facebook.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/icons/social/facebook.svg	(from https://machinebreak.com/)
20:02:55	363/363	---M--	200	added ('OK')	image/svg+xml	etag:%2201ffba79a4834883ec5cd3c8be2a677b-ssl%22	https://machinebreak.com/assets/img/icons/social/linkedin.svg	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/img/icons/social/linkedin.svg	(from https://machinebreak.com/)
20:02:56	0/-1	---M--	301	error ('')			https://machinebreak.com/index	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/index.14.delayed	(from https://machinebreak.com/)
20:02:57	20007/20007	---MCZ	200	added ('OK')	text/html	etag:%221255d58cc8fba4882ec16f7ee7eec9ae-ssl-df%22	https://machinebreak.com/terms-of-service	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/terms-of-service.html	(from https://machinebreak.com/)
20:02:58	15111/15111	---MCZ	200	added ('OK')	text/html	etag:%2241d43e9bf04588aed71b2a67b6a18990-ssl-df%22	https://machinebreak.com/careers	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/careers.html	(from https://machinebreak.com/)
20:02:59	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:%22d52c2968a681256fe4fe5725f552f289-ssl-df%22	https://machinebreak.com/assets/libs/jquery/dist/jquery.min.js	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/jquery/dist/jquery.min.js	(from https://machinebreak.com/)
20:03:00	81084/81084	---MCZ	200	added ('OK')	application/javascript	etag:%22867648cb9ce71dbe153a25a44be0ab40-ssl-df%22	https://machinebreak.com/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	/Users/mohamed/Documents/MACHINE/%20BREAK/%20SITE/%20INTERNET/%20%20/MACHINEBREAK/machinebreak.com/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://machinebreak.com/)
